latitude,longitude
34.3775236,-84.9152743
32.7436735,-83.7236079
33.0072636,-83.5420184
32.4697665,-83.7426777
32.9332059,-83.726285
30.8415593,-83.9436004
33.8728767,-83.4386964
34.6586589,-84.4905276
34.4483769,-83.1274995
34.7978205,-84.9570848
33.5437086,-82.1353649
32.3751569,-82.0626754
33.0992232,-83.246607
32.5551118,-83.6682744
34.5684373,-83.3030615
33.475048,-81.9954283
33.509231,-82.102177
33.8799217,-84.5116912
34.1445514,-84.51122
33.9333885,-84.3797292
33.3974266,-84.6036317
31.8483144,-81.589309
34.1484544,-84.82826
33.5926798,-83.8346922
33.9437829,-84.534649
34.022551,-84.4256984
34.01703,-84.4915316
33.9487164,-84.491778
33.9432673,-84.2390961
33.5050272,-84.2358857
32.4223168,-81.7794836
34.7632697,-85.0044628
34.8977362,-85.1316079
33.29394,-83.9715738
33.341137,-84.536453
33.8970061,-84.4806705
33.8853427,-84.2467509
33.9588929,-83.3752453
34.0097527,-85.0304306
33.5778561,-83.9616719
32.3586642,-84.9628641
33.1024112,-82.0234077
33.8789863,-84.0114131
34.12064,-84.079557
33.9222531,-84.5767932
32.5810543,-83.6957768
33.9247109,-84.4658714
31.1340168,-83.4354018
32.611081,-83.743864
33.041815,-84.1702049
33.790291,-84.406946
34.3139629,-83.794077
39.9139364,-86.2230357
38.320766,-85.7104412
39.9841445,-86.003028
38.3418914,-85.7985949
39.6351989,-86.0833425
38.356791,-85.701437
37.9861454,-87.4731853
39.6127068,-86.1602726
37.9771943,-87.398979
39.1296556,-94.830945
38.8842358,-94.6962746
38.9720173,-95.3019602
38.9085927,-94.7745387
37.7432825,-85.890503
38.0977612,-85.8719975
36.9791759,-86.4539657
38.2300289,-85.5413851
38.1810905,-84.8167286
36.950901,-86.4368789
37.6172293,-84.7868298
38.21484,-85.2582197
37.7384007,-84.2703881
37.0111905,-85.9237186
36.9304746,-86.4129963
38.073023,-84.481293
37.720438,-87.1250257
38.0692046,-84.5307175
37.9990746,-84.4445477
38.0924515,-85.6712189
37.9046609,-84.5655182
36.6959657,-86.5705328
36.6294535,-88.3138892
38.1571476,-85.6985954
37.8243587,-85.4624153
38.1872462,-84.5631851
36.8354911,-87.4742686
37.0655529,-84.6206949
37.983563,-84.49576
38.168773,-85.8275158
38.271682,-85.494506
38.2111934,-85.3477201
38.0368577,-84.5192492
37.07146,-88.7022251
37.9969433,-85.7080098
32.4548361,-93.6587196
32.5387264,-92.6519285
32.5376363,-92.0780492
32.5173036,-92.1923739
32.5279039,-93.7178471
30.211244,-90.940661
32.4385696,-93.7163261
30.648517,-91.141981
30.3621967,-91.0145295
32.3856008,-93.8165
30.235562,-90.9119058
30.440274,-91.024969
32.5910015,-93.8447239
30.4976001,-90.4831965
38.933,-92.2927836
37.1799705,-93.2299652
38.1379387,-92.6353474
39.2669585,-94.4483798
38.7834535,-93.7356314
37.300438,-89.5795708
36.8663562,-89.581176
